elec_id,country,year,presidential,date,legislative_type,elecrule,tier1_formula,tier2_formula,tier3_formula,tier4_formula,multi,seats,tier1_avemag,tier1_districts,tier2_districts,tier3_districts,tier4_districts,enep,enep1,enpp,enpp1,dd_democracy,bmr_democracy,fh_democracy,p5_democracy,vd_polyarchy,tier1_EffElecThrsh
L-AAB-1984-4-17,Antigua & Barbuda,1984,0,"April 17, 1984",1.0,1.0,1.0,,,,0.0,17.0,1.0,17.0,0.0,0.0,0.0,1.92,1.94,1.12,1.13,1,0.0,1.0,0.0,0,0.375
L-AAB-1989-3-9,Antigua & Barbuda,1989,0,"March 09, 1989",1.0,1.0,1.0,,,,0.0,17.0,1.0,17.0,0.0,0.0,0.0,1.98,1.98,1.27,1.27,1,0.0,1.0,0.0,0,0.375
L-AAB-1994-3-8,Antigua & Barbuda,1994,0,"March 08, 1994",1.0,1.0,1.0,,,,0.0,17.0,1.0,17.0,0.0,0.0,0.0,2.07,2.07,1.97,1.97,1,0.0,0.0,0.0,0,0.375
L-AAB-1999-3-9,Antigua & Barbuda,1999,0,"March 09, 1999",1.0,1.0,1.0,,,,0.0,17.0,1.0,17.0,0.0,0.0,0.0,2.09,2.095,1.8,1.8,1,0.0,0.0,0.0,0,0.375
L-AAB-2004-3-23,Antigua & Barbuda,2004,0,"March 23, 2004",1.0,1.0,1.0,,,,0.0,17.0,1.0,17.0,0.0,0.0,0.0,2.07,2.07128635763579,1.8,1.8,1,1.0,1.0,0.0,0,0.375
L-AAB-2009-3-12,Antigua & Barbuda,2009,0,"March 12, 2009",1.0,1.0,1.0,,,,0.0,17.0,1.0,17.0,0.0,0.0,0.0,2.07,2.07007498896543,2.21,2.21,1,1.0,1.0,0.0,0,0.375
L-AAB-2014-6-12,Antigua and Barbuda,2014,0,"June 12, 2014",1.0,1.0,1.0,,,,0.0,17.0,1.0,17.0,0.0,0.0,0.0,2.02167,2.02167,1.409756,1.409756,1,1.0,1.0,0.0,0,0.375
L-AAB-2018-3-21,Antigua and Barbuda,2018,0,"March 21, 2018",1.0,1.0,1.0,,,,0.0,17.0,1.0,17.0,0.0,0.0,0.0,2.03328073913821,2.03493577742686,1.27312775330396,1.27312775330396,1,,1.0,0.0,0,0.375
L-ALB-1992-3-22,Albania,1992,0,"March 22, 1992",3.0,11.0,4.0,13.0,,,1.0,140.0,1.0,100.0,1.0,0.0,0.0,2.19,2.19,1.95,1.95,1,1.0,0.0,0.0,0,0.375
L-ALB-1996-5-26,Albania,1996,0,"May 26, 1996",3.0,12.0,4.0,12.0,,,1.0,140.0,1.0,115.0,1.0,0.0,0.0,2.73,2.785,1.31,1.31,1,0.0,0.0,0.0,0,0.375
